user_id,session_date,content_type,device_type,subscription_tier,minutes_watched
user_01168,2024-01-01,movie,web,basic,67
user_01189,2024-01-01,movie,mobile,standard,94
user_01191,2024-01-01,tv_show,mobile,standard,33
user_01193,2024-01-01,movie,web,premium,39
user_01194,2024-01-01,tv_show,mobile,standard,36
user_01199,2024-01-01,tv_show,mobile,standard,8
user_01209,2024-01-01,tv_show,tv,basic,39
user_01226,2024-01-01,documentary,mobile,premium,3
user_01239,2024-01-01,documentary,mobile,standard,19
user_01246,2024-01-01,tv_show,mobile,standard,29
user_01248,2024-01-01,movie,tv,basic,106
user_01252,2024-01-01,movie,mobile,standard,30
user_01260,2024-01-01,tv_show,mobile,basic,7
user_01277,2024-01-01,movie,tv,standard,169
user_01281,2024-01-01,tv_show,mobile,standard,20
user_01289,2024-01-01,movie,web,standard,37
user_01316,2024-01-01,movie,mobile,basic,11
user_01321,2024-01-01,tv_show,mobile,premium,23
user_01330,2024-01-01,movie,tv,premium,118
user_01342,2024-01-01,documentary,tv,basic,55
user_01343,2024-01-01,movie,mobile,standard,6
user_01346,2024-01-01,movie,mobile,standard,7
user_01356,2024-01-01,movie,web,basic,8
user_01365,2024-01-01,tv_show,tv,standard,31
user_01371,2024-01-01,movie,mobile,standard,71
user_01395,2024-01-01,tv_show,tv,basic,79
user_01399,2024-01-01,movie,mobile,standard,7
user_01400,2024-01-01,documentary,mobile,premium,16
user_01410,2024-01-01,movie,mobile,basic,13
user_01410,2024-01-01,movie,mobile,basic,14
user_01433,2024-01-01,movie,web,premium,82
user_01437,2024-01-01,movie,mobile,basic,28
user_01444,2024-01-01,movie,tv,basic,48
user_01466,2024-01-01,tv_show,mobile,premium,13
user_01490,2024-01-01,tv_show,tv,premium,39
user_01491,2024-01-01,tv_show,web,basic,47
user_01492,2024-01-01,movie,mobile,basic,33
user_01493,2024-01-01,movie,mobile,premium,31
user_01525,2024-01-01,movie,tv,premium,55
user_01537,2024-01-01,tv_show,mobile,standard,34
user_01548,2024-01-01,tv_show,web,standard,11
user_01549,2024-01-01,movie,mobile,standard,18
user_01572,2024-01-01,movie,mobile,premium,34
user_01592,2024-01-01,tv_show,mobile,standard,32
user_01597,2024-01-01,movie,mobile,standard,17
user_01610,2024-01-01,movie,web,basic,18
user_01623,2024-01-01,movie,tv,basic,43
user_01639,2024-01-01,movie,mobile,basic,22
user_01647,2024-01-01,movie,web,premium,75
user_01652,2024-01-01,movie,mobile,standard,31
user_01655,2024-01-01,movie,web,basic,23
user_01663,2024-01-01,movie,mobile,standard,15
user_01670,2024-01-01,movie,mobile,basic,10
user_01673,2024-01-01,movie,mobile,standard,7
user_01691,2024-01-01,documentary,mobile,standard,30
user_01701,2024-01-01,movie,web,standard,30
user_01722,2024-01-01,documentary,web,standard,14
user_01725,2024-01-01,movie,mobile,standard,64
user_01751,2024-01-01,tv_show,tv,basic,87
user_01773,2024-01-01,movie,tv,standard,137
user_01775,2024-01-01,movie,mobile,basic,68
user_01786,2024-01-01,movie,web,premium,11
user_01795,2024-01-01,movie,tv,premium,17
user_01806,2024-01-01,movie,web,basic,87
user_01815,2024-01-01,movie,web,premium,81
user_01823,2024-01-01,tv_show,web,basic,10
user_01828,2024-01-01,movie,tv,basic,32
user_01869,2024-01-01,documentary,web,basic,9
user_01895,2024-01-01,tv_show,mobile,standard,44
user_01898,2024-01-01,documentary,mobile,premium,47
user_01903,2024-01-01,tv_show,mobile,standard,64
user_01906,2024-01-01,movie,web,basic,14
user_01913,2024-01-01,tv_show,mobile,basic,80
user_01929,2024-01-01,movie,tv,standard,55
user_01969,2024-01-01,movie,mobile,basic,4
user_01981,2024-01-01,tv_show,mobile,standard,68
user_01984,2024-01-01,tv_show,tv,basic,113
user_01995,2024-01-01,movie,web,basic,27
user_02020,2024-01-01,movie,web,standard,55
user_02041,2024-01-01,movie,mobile,premium,15
user_02079,2024-01-01,movie,mobile,standard,11
user_02083,2024-01-01,documentary,tv,basic,54
user_02105,2024-01-01,tv_show,web,standard,25
user_02116,2024-01-01,movie,mobile,basic,3
user_02118,2024-01-01,movie,mobile,basic,8
user_02135,2024-01-01,tv_show,mobile,standard,87
user_02138,2024-01-01,movie,mobile,standard,36
user_02164,2024-01-01,movie,web,premium,10
user_02172,2024-01-01,tv_show,tv,basic,94
user_02182,2024-01-01,tv_show,mobile,standard,18
user_02185,2024-01-01,tv_show,mobile,standard,14
user_02188,2024-01-01,tv_show,mobile,basic,29
user_02194,2024-01-01,tv_show,mobile,premium,5
user_02196,2024-01-01,tv_show,web,premium,107
user_02200,2024-01-01,tv_show,tv,basic,69
user_02203,2024-01-01,documentary,mobile,standard,32
user_02212,2024-01-01,movie,mobile,standard,14
user_02234,2024-01-01,tv_show,web,standard,103
user_02252,2024-01-01,tv_show,web,premium,46
user_02255,2024-01-01,movie,mobile,premium,4
user_02256,2024-01-01,movie,web,basic,16
user_02267,2024-01-01,movie,tv,premium,34
user_02291,2024-01-01,movie,mobile,basic,41
user_02325,2024-01-01,movie,tv,premium,43
user_02331,2024-01-01,movie,web,standard,13
user_02345,2024-01-01,movie,mobile,standard,38
user_02358,2024-01-01,tv_show,tv,basic,58
user_02367,2024-01-01,documentary,mobile,premium,45
user_02376,2024-01-01,movie,web,basic,40
user_02383,2024-01-01,documentary,mobile,basic,31
user_02383,2024-01-01,documentary,web,basic,42
user_02400,2024-01-01,movie,mobile,premium,6
user_02401,2024-01-01,movie,tv,standard,40
user_02434,2024-01-01,tv_show,tv,basic,23
user_02436,2024-01-01,movie,mobile,basic,18
user_02442,2024-01-01,movie,tv,basic,11
user_02484,2024-01-01,tv_show,web,basic,28
user_02521,2024-01-01,movie,mobile,standard,3
user_02526,2024-01-01,documentary,mobile,basic,22
user_02528,2024-01-01,documentary,web,standard,18
user_02530,2024-01-01,movie,mobile,basic,34
user_02532,2024-01-01,tv_show,web,basic,11
user_02547,2024-01-01,movie,tv,standard,11
user_02551,2024-01-01,movie,mobile,premium,68
user_02555,2024-01-01,movie,web,premium,60
user_02579,2024-01-01,tv_show,mobile,standard,52
user_02587,2024-01-01,movie,mobile,standard,8
user_02593,2024-01-01,movie,mobile,basic,4
user_02600,2024-01-01,movie,web,basic,16
user_02602,2024-01-01,tv_show,mobile,premium,14
user_02622,2024-01-01,tv_show,tv,premium,33
user_02623,2024-01-01,tv_show,web,standard,171
user_02645,2024-01-01,movie,tv,basic,63
user_02661,2024-01-01,tv_show,web,basic,17
user_02669,2024-01-01,movie,tv,standard,38
user_02677,2024-01-01,documentary,web,premium,73
user_02685,2024-01-01,documentary,web,premium,11
user_02697,2024-01-01,movie,mobile,basic,53
user_02697,2024-01-01,movie,mobile,premium,17
user_02705,2024-01-01,movie,tv,premium,10
user_02715,2024-01-01,movie,mobile,standard,20
user_02723,2024-01-01,movie,mobile,standard,54
user_02726,2024-01-01,tv_show,web,basic,37
user_02738,2024-01-01,tv_show,tv,standard,20
user_02738,2024-01-01,tv_show,web,basic,22
user_02756,2024-01-01,tv_show,mobile,basic,42
user_02760,2024-01-01,movie,tv,premium,115
user_02772,2024-01-01,movie,mobile,basic,11
user_02773,2024-01-01,movie,mobile,standard,46
user_02782,2024-01-01,movie,web,standard,6
user_02794,2024-01-01,tv_show,mobile,premium,8
user_02796,2024-01-01,movie,mobile,standard,6
user_02807,2024-01-01,tv_show,web,standard,50
user_02818,2024-01-01,movie,tv,standard,14
user_02829,2024-01-01,movie,mobile,standard,63
user_02834,2024-01-01,tv_show,mobile,premium,121
user_02835,2024-01-01,documentary,mobile,standard,25
user_02841,2024-01-01,tv_show,mobile,basic,1
user_02860,2024-01-01,tv_show,mobile,standard,35
user_02873,2024-01-01,movie,web,basic,102
user_02873,2024-01-01,tv_show,tv,standard,107
user_02873,2024-01-01,movie,mobile,basic,59
user_02876,2024-01-01,movie,tv,standard,75
user_02946,2024-01-01,movie,web,standard,20
user_02949,2024-01-01,movie,mobile,standard,30
user_02949,2024-01-01,tv_show,mobile,premium,60
user_02975,2024-01-01,movie,mobile,standard,51
user_02975,2024-01-01,tv_show,web,basic,31
user_02987,2024-01-01,tv_show,mobile,basic,39
user_03006,2024-01-01,documentary,web,basic,95
user_03008,2024-01-01,movie,mobile,basic,1
user_03028,2024-01-01,movie,mobile,basic,20
user_03037,2024-01-01,documentary,web,premium,25
user_03069,2024-01-01,movie,mobile,basic,9
user_03085,2024-01-01,movie,web,standard,37
user_03126,2024-01-01,movie,mobile,basic,46
user_03163,2024-01-01,movie,web,premium,43
user_03168,2024-01-01,movie,mobile,basic,13
user_03173,2024-01-01,movie,mobile,basic,39
user_03181,2024-01-01,movie,tv,basic,24
user_03200,2024-01-01,movie,mobile,basic,29
user_03204,2024-01-01,movie,mobile,standard,30
user_03248,2024-01-01,movie,mobile,premium,34
user_03262,2024-01-01,tv_show,web,standard,62
user_03268,2024-01-01,tv_show,tv,basic,168
user_03276,2024-01-01,movie,tv,premium,83
user_03281,2024-01-01,documentary,mobile,basic,41
user_03288,2024-01-01,movie,mobile,basic,33
user_03292,2024-01-01,movie,mobile,standard,9
user_03303,2024-01-01,movie,web,basic,77
user_03306,2024-01-01,tv_show,web,basic,42
user_03329,2024-01-01,tv_show,web,premium,50
user_03329,2024-01-01,tv_show,web,premium,72
user_03330,2024-01-01,tv_show,tv,standard,55
user_03340,2024-01-01,tv_show,mobile,standard,8
user_03345,2024-01-01,documentary,mobile,standard,21
user_03360,2024-01-01,tv_show,mobile,standard,23
user_03361,2024-01-01,movie,tv,basic,12
user_03371,2024-01-01,documentary,mobile,standard,15
user_03377,2024-01-01,tv_show,mobile,standard,39
user_03399,2024-01-01,movie,mobile,standard,63
user_03448,2024-01-01,movie,mobile,basic,6
user_03458,2024-01-01,movie,web,standard,50
user_03459,2024-01-01,movie,tv,premium,7
user_03468,2024-01-01,documentary,web,standard,20
user_03483,2024-01-01,movie,mobile,premium,40
user_03513,2024-01-01,tv_show,mobile,basic,22
user_03517,2024-01-01,movie,mobile,standard,9
user_03529,2024-01-01,tv_show,web,standard,80
user_03546,2024-01-01,movie,web,premium,46
user_03550,2024-01-01,tv_show,mobile,standard,29
user_03552,2024-01-01,movie,mobile,basic,122
user_03554,2024-01-01,tv_show,mobile,premium,134
user_03567,2024-01-01,movie,mobile,premium,25
user_03571,2024-01-01,movie,tv,premium,28
user_03592,2024-01-01,movie,mobile,basic,17
user_03621,2024-01-01,tv_show,web,basic,3
user_03633,2024-01-01,movie,web,standard,27
user_03639,2024-01-01,movie,tv,premium,31
user_03651,2024-01-01,tv_show,mobile,standard,51
user_03669,2024-01-01,movie,mobile,basic,15
user_03675,2024-01-01,documentary,web,standard,39
user_03679,2024-01-01,tv_show,web,basic,72
user_03684,2024-01-01,movie,mobile,standard,36
user_03687,2024-01-01,tv_show,tv,basic,65
user_03688,2024-01-01,movie,mobile,basic,42
user_03694,2024-01-01,tv_show,mobile,basic,8
user_03703,2024-01-01,movie,web,basic,76
user_03707,2024-01-01,movie,web,premium,42
user_03716,2024-01-01,movie,tv,basic,97
user_03721,2024-01-01,movie,tv,standard,37
user_03733,2024-01-01,movie,mobile,standard,14
user_03779,2024-01-01,movie,mobile,standard,23
user_03791,2024-01-01,tv_show,web,premium,43
user_03816,2024-01-01,movie,mobile,standard,12
user_03825,2024-01-01,movie,tv,standard,15
user_03827,2024-01-01,movie,tv,standard,13
user_03861,2024-01-01,movie,mobile,standard,49
user_03862,2024-01-01,tv_show,web,basic,10
user_03871,2024-01-01,movie,web,standard,9
user_03881,2024-01-01,movie,web,standard,8
user_03907,2024-01-01,movie,mobile,basic,14
user_03915,2024-01-01,tv_show,tv,standard,115
user_03926,2024-01-01,documentary,mobile,standard,34
user_03937,2024-01-01,movie,mobile,premium,11
user_03979,2024-01-01,movie,mobile,basic,12
user_03990,2024-01-01,movie,web,standard,14
user_04026,2024-01-01,tv_show,tv,basic,18
user_04037,2024-01-01,movie,tv,basic,43
user_04039,2024-01-01,movie,mobile,basic,21
user_04071,2024-01-01,movie,mobile,standard,42
user_04076,2024-01-01,documentary,mobile,standard,28
user_04080,2024-01-01,tv_show,mobile,standard,6
user_04121,2024-01-01,tv_show,mobile,standard,21
user_04140,2024-01-01,tv_show,mobile,basic,6
user_04148,2024-01-01,movie,mobile,basic,30
user_04151,2024-01-01,tv_show,mobile,premium,32
user_04153,2024-01-01,movie,mobile,standard,35
user_04166,2024-01-01,tv_show,mobile,premium,25
user_04168,2024-01-01,tv_show,web,basic,19
user_04171,2024-01-01,tv_show,tv,standard,80
user_04172,2024-01-01,movie,web,basic,21
user_04183,2024-01-01,movie,web,standard,90
user_04215,2024-01-01,tv_show,web,basic,46
user_04222,2024-01-01,movie,mobile,standard,13
user_04252,2024-01-01,tv_show,mobile,premium,119
user_04313,2024-01-01,documentary,tv,basic,87
user_04318,2024-01-01,movie,mobile,standard,16
user_04329,2024-01-01,movie,mobile,basic,31
user_04332,2024-01-01,tv_show,web,basic,20
user_04344,2024-01-01,movie,tv,standard,34
user_04353,2024-01-01,tv_show,tv,premium,81
user_04373,2024-01-01,movie,web,basic,63
user_04379,2024-01-01,tv_show,mobile,basic,103
user_04380,2024-01-01,tv_show,mobile,standard,35
user_04381,2024-01-01,movie,web,premium,14
user_04385,2024-01-01,tv_show,mobile,premium,93
user_04397,2024-01-01,movie,mobile,premium,76
user_04397,2024-01-01,tv_show,mobile,basic,37
user_04401,2024-01-01,movie,mobile,standard,18
user_04412,2024-01-01,documentary,tv,standard,38
user_04415,2024-01-01,tv_show,tv,standard,5
user_04429,2024-01-01,movie,mobile,premium,28
user_04436,2024-01-01,movie,mobile,standard,38
user_04455,2024-01-01,documentary,mobile,standard,31
user_04458,2024-01-01,tv_show,mobile,standard,65
user_04486,2024-01-01,movie,web,standard,19
user_04487,2024-01-01,movie,mobile,basic,32
user_04497,2024-01-01,movie,mobile,standard,24
user_04506,2024-01-01,movie,mobile,standard,20
user_04508,2024-01-01,movie,web,basic,29
user_04513,2024-01-01,movie,web,standard,27
user_04516,2024-01-01,movie,web,basic,97
user_04526,2024-01-01,documentary,tv,basic,65
user_04534,2024-01-01,movie,mobile,standard,36
user_04546,2024-01-01,movie,web,basic,41
user_04550,2024-01-01,movie,web,basic,12
user_04556,2024-01-01,movie,web,basic,27
user_04577,2024-01-01,tv_show,web,premium,60
user_04587,2024-01-01,movie,web,premium,77
user_04596,2024-01-01,movie,mobile,standard,25
user_04597,2024-01-01,movie,web,standard,15
user_04603,2024-01-01,tv_show,web,standard,155
user_04611,2024-01-01,tv_show,tv,basic,25
user_04618,2024-01-01,tv_show,mobile,standard,16
user_04621,2024-01-01,movie,web,standard,14
user_04631,2024-01-01,tv_show,tv,basic,23
user_04653,2024-01-01,movie,mobile,basic,12
user_04659,2024-01-01,documentary,mobile,premium,90
user_04659,2024-01-01,movie,mobile,standard,46
user_04662,2024-01-01,movie,mobile,basic,12
user_04666,2024-01-01,tv_show,web,standard,41
user_04672,2024-01-01,tv_show,mobile,basic,20
user_04689,2024-01-01,movie,tv,basic,51
user_04690,2024-01-01,tv_show,web,basic,30
user_04708,2024-01-01,movie,tv,standard,63
user_04710,2024-01-01,movie,mobile,basic,54
user_04719,2024-01-01,movie,tv,premium,53
user_04720,2024-01-01,tv_show,web,basic,16
user_04740,2024-01-01,movie,mobile,basic,20
user_04740,2024-01-01,movie,mobile,premium,23
user_04752,2024-01-01,documentary,mobile,basic,28
user_04765,2024-01-01,tv_show,mobile,basic,69
user_04773,2024-01-01,movie,tv,basic,35
user_04781,2024-01-01,tv_show,mobile,standard,12
user_04802,2024-01-01,movie,mobile,basic,37
user_04809,2024-01-01,movie,web,standard,15
user_04822,2024-01-01,movie,web,standard,83
user_04823,2024-01-01,movie,web,premium,121
user_04830,2024-01-01,movie,web,standard,24
user_04832,2024-01-01,movie,mobile,standard,26
user_04841,2024-01-01,movie,mobile,premium,73
user_04850,2024-01-01,movie,web,basic,15
user_04862,2024-01-01,movie,mobile,standard,21
user_04867,2024-01-01,movie,mobile,basic,54
user_04890,2024-01-01,movie,mobile,basic,50
user_04907,2024-01-01,movie,mobile,basic,24
user_04937,2024-01-01,documentary,mobile,standard,42
user_04942,2024-01-01,tv_show,tv,standard,80
user_04958,2024-01-01,movie,mobile,basic,27
user_04985,2024-01-01,tv_show,tv,premium,41
user_04988,2024-01-01,movie,mobile,standard,12
user_04997,2024-01-01,movie,mobile,basic,26
user_00027,2024-01-02,movie,tv,standard,39
user_00031,2024-01-02,tv_show,mobile,standard,41
user_00037,2024-01-02,movie,mobile,standard,15
user_00039,2024-01-02,movie,web,standard,9
user_00046,2024-01-02,movie,web,standard,74
user_00047,2024-01-02,documentary,tv,basic,39
user_00051,2024-01-02,tv_show,tv,premium,116
user_00072,2024-01-02,movie,mobile,standard,17
user_00079,2024-01-02,movie,mobile,standard,45
user_00144,2024-01-02,movie,mobile,premium,27
user_00147,2024-01-02,movie,tv,basic,47
user_00151,2024-01-02,movie,tv,standard,26
user_00156,2024-01-02,documentary,tv,standard,7
user_00161,2024-01-02,movie,web,standard,63
user_00166,2024-01-02,movie,mobile,basic,32
user_00179,2024-01-02,movie,tv,basic,73
user_00179,2024-01-02,movie,web,standard,16
user_00186,2024-01-02,movie,web,basic,35
user_00187,2024-01-02,movie,mobile,basic,21
user_00194,2024-01-02,movie,web,basic,20
user_00197,2024-01-02,movie,mobile,basic,9
user_00204,2024-01-02,movie,mobile,basic,13
user_00208,2024-01-02,movie,tv,standard,48
user_00299,2024-01-02,tv_show,tv,premium,115
user_00314,2024-01-02,movie,web,basic,28
user_00328,2024-01-02,tv_show,tv,standard,69
user_00329,2024-01-02,movie,tv,standard,53
user_00330,2024-01-02,tv_show,mobile,standard,18
user_00336,2024-01-02,movie,tv,standard,48
user_00336,2024-01-02,movie,tv,premium,41
user_00339,2024-01-02,movie,mobile,basic,32
user_00358,2024-01-02,movie,mobile,basic,36
user_00393,2024-01-02,tv_show,web,basic,66
user_00400,2024-01-02,movie,mobile,basic,25
user_00422,2024-01-02,tv_show,web,standard,121
user_00436,2024-01-02,movie,web,basic,78
user_00450,2024-01-02,movie,tv,standard,28
user_00450,2024-01-02,documentary,mobile,premium,50
user_00454,2024-01-02,movie,tv,premium,203
user_00460,2024-01-02,movie,tv,standard,41
user_00462,2024-01-02,movie,mobile,standard,70
user_00474,2024-01-02,movie,mobile,standard,9
user_00483,2024-01-02,movie,mobile,basic,16
user_00527,2024-01-02,tv_show,mobile,standard,39
user_00530,2024-01-02,movie,mobile,basic,17
user_00551,2024-01-02,movie,web,basic,63
user_00563,2024-01-02,movie,web,standard,4
user_00565,2024-01-02,tv_show,tv,basic,60
user_00598,2024-01-02,movie,mobile,standard,85
user_00617,2024-01-02,movie,tv,premium,165
user_00646,2024-01-02,movie,mobile,basic,16
user_00649,2024-01-02,movie,tv,standard,20
user_00650,2024-01-02,movie,mobile,basic,35
user_00655,2024-01-02,movie,mobile,premium,38
user_00667,2024-01-02,documentary,mobile,basic,9
user_00694,2024-01-02,movie,web,basic,44
user_00698,2024-01-02,movie,mobile,standard,47
user_00700,2024-01-02,movie,web,standard,77
user_00717,2024-01-02,movie,mobile,basic,35
user_00725,2024-01-02,documentary,mobile,basic,24
user_00750,2024-01-02,tv_show,mobile,premium,30
user_00757,2024-01-02,documentary,web,premium,14
user_00772,2024-01-02,tv_show,mobile,basic,20
user_00802,2024-01-02,movie,web,standard,40
user_00815,2024-01-02,tv_show,tv,standard,22
user_00819,2024-01-02,movie,web,basic,26
user_00822,2024-01-02,tv_show,tv,standard,11
user_00834,2024-01-02,tv_show,mobile,premium,54
user_00839,2024-01-02,tv_show,web,standard,87
user_00843,2024-01-02,movie,mobile,standard,66
user_00846,2024-01-02,movie,web,basic,13
user_00873,2024-01-02,movie,mobile,basic,77
user_00875,2024-01-02,documentary,mobile,standard,19
user_00889,2024-01-02,tv_show,mobile,standard,15
user_00897,2024-01-02,movie,mobile,standard,14
user_00902,2024-01-02,movie,tv,premium,131
user_00917,2024-01-02,tv_show,tv,premium,132
user_00926,2024-01-02,movie,mobile,basic,45
user_00930,2024-01-02,movie,web,standard,60
user_00945,2024-01-02,movie,tv,basic,124
user_00959,2024-01-02,movie,mobile,basic,32
user_00963,2024-01-02,movie,web,basic,31
user_00989,2024-01-02,movie,tv,basic,90
user_00990,2024-01-02,movie,tv,standard,33
user_01001,2024-01-02,tv_show,mobile,basic,23
user_01006,2024-01-02,movie,tv,basic,14
user_01012,2024-01-02,movie,web,standard,34
user_01037,2024-01-02,tv_show,mobile,basic,19
user_01082,2024-01-02,tv_show,tv,basic,56
user_01086,2024-01-02,movie,tv,basic,31
user_01099,2024-01-02,documentary,tv,basic,48
user_01101,2024-01-02,movie,tv,standard,92
user_01115,2024-01-02,movie,mobile,basic,44
user_01130,2024-01-02,movie,tv,standard,15
user_01134,2024-01-02,tv_show,web,premium,84
user_01170,2024-01-02,tv_show,mobile,premium,87
user_01172,2024-01-02,movie,web,basic,17
user_01181,2024-01-02,documentary,web,standard,49
user_01190,2024-01-02,movie,tv,standard,48
user_01203,2024-01-02,movie,web,basic,58
user_01210,2024-01-02,movie,mobile,premium,11
user_01211,2024-01-02,movie,mobile,premium,39
user_01218,2024-01-02,movie,mobile,basic,10
user_01223,2024-01-02,movie,mobile,standard,8
user_01230,2024-01-02,movie,web,basic,51
user_01231,2024-01-02,tv_show,tv,basic,41
user_01233,2024-01-02,documentary,mobile,basic,36
user_01261,2024-01-02,tv_show,tv,standard,39
user_01268,2024-01-02,movie,web,premium,118
user_01290,2024-01-02,movie,web,premium,23
user_01300,2024-01-02,movie,tv,premium,194
user_01302,2024-01-02,movie,web,premium,6
user_01321,2024-01-02,movie,tv,standard,18
user_01328,2024-01-02,movie,mobile,premium,65
user_01354,2024-01-02,movie,mobile,standard,7
user_01375,2024-01-02,documentary,mobile,standard,15
user_01383,2024-01-02,movie,web,standard,26
user_01400,2024-01-02,documentary,mobile,basic,27
user_01400,2024-01-02,movie,web,standard,19
user_01400,2024-01-02,tv_show,mobile,standard,14
user_01416,2024-01-02,movie,tv,standard,42
user_01434,2024-01-02,movie,mobile,premium,13
user_01464,2024-01-02,movie,mobile,premium,26
user_01482,2024-01-02,movie,tv,basic,104
user_01498,2024-01-02,movie,web,basic,85
user_01507,2024-01-02,movie,tv,basic,13
user_01514,2024-01-02,tv_show,mobile,standard,66
user_01515,2024-01-02,tv_show,tv,standard,49
user_01530,2024-01-02,tv_show,web,premium,35
user_01540,2024-01-02,movie,tv,standard,46
user_01543,2024-01-02,movie,mobile,basic,72
user_01548,2024-01-02,movie,web,standard,9
user_01550,2024-01-02,documentary,web,basic,12
user_01552,2024-01-02,movie,mobile,standard,52
user_01553,2024-01-02,movie,mobile,standard,43
user_01563,2024-01-02,movie,tv,standard,15
user_01564,2024-01-02,movie,web,standard,69
user_01564,2024-01-02,movie,tv,basic,36
user_01568,2024-01-02,movie,mobile,standard,48
user_01569,2024-01-02,documentary,web,basic,20
user_01583,2024-01-02,movie,web,premium,172
user_01588,2024-01-02,movie,mobile,premium,65
user_01603,2024-01-02,movie,tv,basic,64
user_01612,2024-01-02,tv_show,tv,basic,33
